Exam1,Exam2,Admitted
74.77589300092767,89.52981289513276,1
30.05882244669796,49.59297386723685,0
35.28611281526193,47.02051394723416,0
51.54772026906181,46.85629026349976,0
67.94685547711617,46.67857410673128,0
78.63542434898018,96.64742716885644,1
80.27957401466998,92.11606081344084,1
88.9138964166533,69.80378889835472,1
62.22267576120188,52.06099194836679,0
82.30705337399482,76.48196330235604,1
61.379289447425,72.80788731317097,1
79.0327360507101,75.3443764369103,1
35.84740876993872,72.90219802708364,0
75.02474556738889,46.55401354116538,1
57.23870631569862,59.51428198012956,1
89.84580670720979,45.35828361091658,1
74.78925295941542,41.57341522824434,0
42.2617008099817,87.10385094025457,1
66.56089447242954,41.09209807936973,0
85.40451939411645,57.05198397627122,1
