Exam1,Exam2,Admitted
77.19303492601364,70.45820000180959,1
67.31925746917527,66.58935317747915,1
80.36675600171273,90.96014789746954,1
47.26426910848174,88.47586499559782,1
75.01365838958247,30.60326323428011,0
62.27101367004632,69.95445795447587,1
54.63510555424817,52.21388588061123,0
83.48916274498238,48.38028579728175,1
61.83020602312595,50.25610789244621,0
79.94481794066932,74.16311935043758,1
99.82785779692128,72.36925193383885,1
34.52451385320009,60.39634245837173,0
50.2864961189907,49.80453881323059,0
50.45815980285988,75.80985952982456,1
67.37202754570876,42.83843832029179,0
49.07256321908844,51.88321182073966,0
97.77159928000232,86.7278223300282,1
49.58667721632031,59.80895099453265,0
90.54671411399852,43.39060180650027,1
97.64563396007767,68.86157272420604,1
34.62365962451697,78.0246928153624,0
38.78580379679423,64.99568095539578,0
39.53833914367223,76.03681085115882,0
74.24869136721598,69.82457122657193,1
32.72283304060323,43.30717306430063,0
68.46852178591112,85.59430710452014,1
94.83450672430196,45.69430680250754,1
83.90239366249155,56.30804621605327,1
89.6767757507208,65.79936592745237,1
64.0393204150601,78.03168802018232,1
69.07014406283025,52.74046973016765,1
71.7964620586338,78.45356224515052,1
40.23689373545111,71.16774802184875,0
44.66826172480893,66.45008614558913,0
55.34001756003703,64.9319380069486,1
34.1836400264419,75.2377203360134,0
76.09878670226257,87.42056971926803,1
61.10666453684766,96.51142588489624,1
93.114388797442,38.80067033713209,0
76.97878372747498,47.57596364975532,1
90.44855097096364,87.50879176484702,1
56.25381749711624,39.26147251058019,0
30.28671076822607,43.89499752400101,0
72.34649422579923,96.22759296761404,1
60.18259938620976,86.30855209546826,1
50.534788289883,48.85581152764205,0
99.31500880510394,68.77540947206617,1
55.48216114069585,35.57070347228866,0
42.0754545384731,78.84478600148043,0
74.49269241843041,84.84513684930135,1
75.3956114656803,85.75993667331619,1
94.44336776917852,65.56892160559052,1
40.45755098375164,97.53518548909936,1
95.86155507093572,38.22527805795094,0
70.66150955499435,92.92713789364832,1
94.09433112516793,77.15910509073893,1
52.04540476831827,69.43286012045222,1
32.57720016809309,95.59854761387876,0
33.91550010906887,98.86943574220612,0
80.1901807509566,44.82162893218353,1
